b1,b2,b3,b4,b5,b6,b7,col,row
-49.0,-58.0,-61.0,-56.0,-59.0,-70.0,-48.0,2,2
-50.0,-56.0,-61.0,-55.0,-61.0,-70.0,-48.0,2,2
-49.0,-58.0,-61.0,-54.0,-60.0,-70.0,-48.0,2,2
-51.0,-58.0,-61.0,-53.0,-60.0,-68.0,-48.0,2,2
-51.0,-57.0,-61.0,-53.0,-53.0,-68.0,-48.0,2,2
-49.0,-54.0,-61.0,-53.0,-53.0,-70.0,-48.0,2,2
-54.0,-62.0,-61.0,-53.0,-53.0,-55.0,-49.0,4,2
-53.0,-59.0,-61.0,-56.0,-53.0,-58.0,-48.0,4,2
-53.0,-59.0,-58.0,-56.0,-53.0,-58.0,-48.0,4,2
-54.0,-59.0,-58.0,-54.0,-53.0,-58.0,-49.0,4,2
-53.0,-60.0,-61.0,-52.0,-53.0,-59.0,-48.0,4,2
-53.0,-60.0,-58.0,-56.0,-53.0,-58.0,-46.0,4,2
-53.0,-59.0,-61.0,-53.0,-54.0,-58.0,-48.0,4,2
-53.0,-59.0,-59.0,-53.0,-53.0,-58.0,-48.0,4,2
-53.0,-59.0,-61.0,-54.0,-53.0,-58.0,-48.0,4,2
-53.0,-60.0,-61.0,-53.0,-53.0,-58.0,-46.0,4,2
-54.0,-59.0,-61.0,-53.0,-53.0,-57.0,-47.0,4,2
-54.0,-59.0,-61.0,-56.0,-53.0,-57.0,-49.0,4,2
-53.0,-60.0,-60.0,-54.0,-52.0,-57.0,-47.0,4,2
-54.0,-59.0,-60.0,-53.0,-53.0,-58.0,-47.0,4,2
-54.0,-58.0,-60.0,-53.0,-53.0,-58.0,-48.0,4,2
-53.0,-59.0,-61.0,-56.0,-53.0,-57.0,-47.0,4,2
-51.0,-59.0,-67.0,-57.0,-53.0,-61.0,-50.0,5,2
-52.0,-59.0,-66.0,-57.0,-54.0,-61.0,-50.0,5,2
-51.0,-59.0,-66.0,-57.0,-54.0,-60.0,-50.0,5,2
-50.0,-59.0,-65.0,-58.0,-55.0,-61.0,-49.0,5,2
-52.0,-58.0,-66.0,-57.0,-53.0,-60.0,-50.0,5,2
-51.0,-59.0,-65.0,-55.0,-53.0,-61.0,-48.0,5,2
-51.0,-58.0,-66.0,-58.0,-53.0,-60.0,-50.0,5,2
-52.0,-58.0,-65.0,-58.0,-53.0,-61.0,-48.0,5,2
-51.0,-59.0,-66.0,-58.0,-56.0,-61.0,-49.0,5,2
-51.0,-61.0,-65.0,-56.0,-54.0,-61.0,-50.0,5,2
-50.0,-60.0,-67.0,-57.0,-55.0,-61.0,-48.0,5,2
-51.0,-58.0,-65.0,-57.0,-54.0,-62.0,-48.0,5,2
-51.0,-58.0,-65.0,-57.0,-53.0,-61.0,-50.0,5,2
-51.0,-58.0,-65.0,-59.0,-51.0,-61.0,-50.0,5,2
-51.0,-59.0,-65.0,-58.0,-54.0,-61.0,-50.0,5,2
-51.0,-59.0,-66.0,-56.0,-52.0,-61.0,-48.0,5,2
-56.0,-57.0,-53.0,-52.0,-55.0,-67.0,-53.0,6,2
